prompt,context,A,B,C,D,E,answer,source
Which size range of asteroids is predominantly composed of primordial asteroids that have survived from the accretion epoch?,"Contrary to popular imagery, the asteroid belt is mostly empty. The asteroids are spread over such a large volume that reaching an asteroid without aiming carefully would be improbable. Nonetheless, hundreds of thousands of asteroids are currently known, and the total number ranges in the millions or more, depending on the lower size cutoff. Over 200 asteroids are known to be larger than 100 km,[62] and a survey in the infrared wavelengths has shown that the asteroid belt has between 700,000 and 1.7 million asteroids with a diameter of 1 km or more.[63] The number of asteroids in the main belt steadily increases with decreasing size. Although the size distribution generally follows a power law, there are 'bumps' in the curve at about 5 km and 100 km, where more asteroids than expected from such a curve are found. Most asteroids larger than approximately 120 km in diameter are primordial, having survived from the accretion epoch, whereas most smaller asteroids are products of fragmentation of primordial asteroids. The primordial population of the main belt was probably 200 times what it is today.[64][65] The absolute magnitudes of most of the known asteroids are between 11 and 19, with the median at about 16.[66] On average the distance between the asteroids is about 965,600 km (600,000 mi),[67][68] although this varies among asteroid families and smaller undetected asteroids might be even closer. The total mass of the asteroid belt is estimated to be 2.39×1021 kg, which is just 3% of the mass of the Moon.[2] The four largest objects, Ceres, Vesta, Pallas, and Hygiea, contain an estimated 62% of the belt's total mass, with 39% accounted for by Ceres alone.[69][5]",A: Asteroids larger than 1 km in diameter,B: Asteroids larger than 10 km in diameter,C: Asteroids larger than 50 km in diameter,D: Asteroids larger than 100 km in diameter,E: Asteroids larger than 200 km in diameter,Answer: D,104
What is the average distance between asteroids in the asteroid belt?,"Contrary to popular imagery, the asteroid belt is mostly empty. The asteroids are spread over such a large volume that reaching an asteroid without aiming carefully would be improbable. Nonetheless, hundreds of thousands of asteroids are currently known, and the total number ranges in the millions or more, depending on the lower size cutoff. Over 200 asteroids are known to be larger than 100 km,[62] and a survey in the infrared wavelengths has shown that the asteroid belt has between 700,000 and 1.7 million asteroids with a diameter of 1 km or more.[63] The number of asteroids in the main belt steadily increases with decreasing size. Although the size distribution generally follows a power law, there are 'bumps' in the curve at about 5 km and 100 km, where more asteroids than expected from such a curve are found. Most asteroids larger than approximately 120 km in diameter are primordial, having survived from the accretion epoch, whereas most smaller asteroids are products of fragmentation of primordial asteroids. The primordial population of the main belt was probably 200 times what it is today.[64][65] The absolute magnitudes of most of the known asteroids are between 11 and 19, with the median at about 16.[66] On average the distance between the asteroids is about 965,600 km (600,000 mi),[67][68] although this varies among asteroid families and smaller undetected asteroids might be even closer. The total mass of the asteroid belt is estimated to be 2.39×1021 kg, which is just 3% of the mass of the Moon.[2] The four largest objects, Ceres, Vesta, Pallas, and Hygiea, contain an estimated 62% of the belt's total mass, with 39% accounted for by Ceres alone.[69][5]","A: About 100,000 kilometers","B: About 300,000 kilometers","C: About 600,000 kilometers",D: About 1 million kilometers,E: About 2 million kilometers,Answer: C,104
How does the number of asteroids in the main belt change with decreasing size?,"Contrary to popular imagery, the asteroid belt is mostly empty. The asteroids are spread over such a large volume that reaching an asteroid without aiming carefully would be improbable. Nonetheless, hundreds of thousands of asteroids are currently known, and the total number ranges in the millions or more, depending on the lower size cutoff. Over 200 asteroids are known to be larger than 100 km,[62] and a survey in the infrared wavelengths has shown that the asteroid belt has between 700,000 and 1.7 million asteroids with a diameter of 1 km or more.[63] The number of asteroids in the main belt steadily increases with decreasing size. Although the size distribution generally follows a power law, there are 'bumps' in the curve at about 5 km and 100 km, where more asteroids than expected from such a curve are found. Most asteroids larger than approximately 120 km in diameter are primordial, having survived from the accretion epoch, whereas most smaller asteroids are products of fragmentation of primordial asteroids. The primordial population of the main belt was probably 200 times what it is today.[64][65] The absolute magnitudes of most of the known asteroids are between 11 and 19, with the median at about 16.[66] On average the distance between the asteroids is about 965,600 km (600,000 mi),[67][68] although this varies among asteroid families and smaller undetected asteroids might be even closer. The total mass of the asteroid belt is estimated to be 2.39×1021 kg, which is just 3% of the mass of the Moon.[2] The four largest objects, Ceres, Vesta, Pallas, and Hygiea, contain an estimated 62% of the belt's total mass, with 39% accounted for by Ceres alone.[69][5]",A: It decreases with decreasing size.,B: It remains constant regardless of size.,"C: It follows a power law, steadily increasing with decreasing size.","D: It has a bump at around 5 km, then decreases.","E: It has a bump at around 100 km, then decreases.",Answer: C,104
Which asteroid is responsible for accounting for the largest percentage of the asteroid belt's total mass?,"Contrary to popular imagery, the asteroid belt is mostly empty. The asteroids are spread over such a large volume that reaching an asteroid without aiming carefully would be improbable. Nonetheless, hundreds of thousands of asteroids are currently known, and the total number ranges in the millions or more, depending on the lower size cutoff. Over 200 asteroids are known to be larger than 100 km,[62] and a survey in the infrared wavelengths has shown that the asteroid belt has between 700,000 and 1.7 million asteroids with a diameter of 1 km or more.[63] The number of asteroids in the main belt steadily increases with decreasing size. Although the size distribution generally follows a power law, there are 'bumps' in the curve at about 5 km and 100 km, where more asteroids than expected from such a curve are found. Most asteroids larger than approximately 120 km in diameter are primordial, having survived from the accretion epoch, whereas most smaller asteroids are products of fragmentation of primordial asteroids. The primordial population of the main belt was probably 200 times what it is today.[64][65] The absolute magnitudes of most of the known asteroids are between 11 and 19, with the median at about 16.[66] On average the distance between the asteroids is about 965,600 km (600,000 mi),[67][68] although this varies among asteroid families and smaller undetected asteroids might be even closer. The total mass of the asteroid belt is estimated to be 2.39×1021 kg, which is just 3% of the mass of the Moon.[2] The four largest objects, Ceres, Vesta, Pallas, and Hygiea, contain an estimated 62% of the belt's total mass, with 39% accounted for by Ceres alone.[69][5]",A: Ceres,B: Vesta,C: Pallas,D: Hygiea,E: Ceres and Vesta equally share this responsibility.,Answer: A,104
"In the Bus and Binzel SMASS taxonomy, which spectral class includes the most ""standard"" of the non-B carbonaceous objects?","This is a more recent taxonomy introduced by American astronomers Schelte Bus and Richard Binzel in 2002, based on the Small Main-Belt Asteroid Spectroscopic Survey (SMASS) of 1,447 asteroids.[9] This survey produced spectra of a far higher resolution than ECAS (see Tholen classification above), and was able to resolve a variety of narrow spectral features. However, a somewhat smaller range of wavelengths (0.44 μm to 0.92 μm) was observed. Also, albedos were not considered. Attempting to keep to the Tholen taxonomy as much as possible given the differing data, asteroids were sorted into the 26 types given below. As for the Tholen taxonomy, the majority of bodies fall into the three broad C, S, and X categories, with a few unusual bodies categorized into several smaller types (also see § Overview of Tholen and SMASS above): C-group of carbonaceous objects includes the C-type asteroid, the most ""standard"" of the non-B carbonaceous objects, the ""brighter"" B-type asteroid largely overlapping with the Tholen B- and F types, the Cb-type that transition between the plain C- and B-type objects, and the Cg, Ch, and Cgh-types that are somewhat related to the Tholen G-type. The ""h"" stands for ""hydrated"". S-group of silicaceous (stony) objects includes the most common S-type asteroid, as well as the A-, Q-, and R-types. New classes include the K-type (181 Eucharis, 221 Eos) and L-type (83 Beatrix) asteroids. There are also five classes, Sa, Sq, Sr, Sk, and Sl that transition between plain the S-type and the other corresponding types in this group. X-group of mostly metallic objects. This includes the most common X-type asteroids as well as the M, E, or P-type as classified by Tholen. The Xe, Xc, and Xk are transitional types between the plain X- and the corresponding E, C and K classes. Other spectral classes include the T-, D-, and V-types (4 Vesta). The Ld-type is a new class and has more extreme spectral features than the L-type asteroid. The new class of O-type asteroids has since only been assigned to the asteroid 3628 Božněmcová. A significant number of small asteroids were found to fall in the Q, R, and V types, which were represented by only a single body in the Tholen scheme. In the Bus and Binzel SMASS scheme only a single type was assigned to any particular asteroid.[citation needed]",A: Cb-type,B: Ch-type,C: Cg-type,D: C-type,E: B-type,Answer: D,104
"Which spectral class in the Bus and Binzel SMASS taxonomy is associated with ""hydrated"" carbonaceous objects?","This is a more recent taxonomy introduced by American astronomers Schelte Bus and Richard Binzel in 2002, based on the Small Main-Belt Asteroid Spectroscopic Survey (SMASS) of 1,447 asteroids.[9] This survey produced spectra of a far higher resolution than ECAS (see Tholen classification above), and was able to resolve a variety of narrow spectral features. However, a somewhat smaller range of wavelengths (0.44 μm to 0.92 μm) was observed. Also, albedos were not considered. Attempting to keep to the Tholen taxonomy as much as possible given the differing data, asteroids were sorted into the 26 types given below. As for the Tholen taxonomy, the majority of bodies fall into the three broad C, S, and X categories, with a few unusual bodies categorized into several smaller types (also see § Overview of Tholen and SMASS above): C-group of carbonaceous objects includes the C-type asteroid, the most ""standard"" of the non-B carbonaceous objects, the ""brighter"" B-type asteroid largely overlapping with the Tholen B- and F types, the Cb-type that transition between the plain C- and B-type objects, and the Cg, Ch, and Cgh-types that are somewhat related to the Tholen G-type. The ""h"" stands for ""hydrated"". S-group of silicaceous (stony) objects includes the most common S-type asteroid, as well as the A-, Q-, and R-types. New classes include the K-type (181 Eucharis, 221 Eos) and L-type (83 Beatrix) asteroids. There are also five classes, Sa, Sq, Sr, Sk, and Sl that transition between plain the S-type and the other corresponding types in this group. X-group of mostly metallic objects. This includes the most common X-type asteroids as well as the M, E, or P-type as classified by Tholen. The Xe, Xc, and Xk are transitional types between the plain X- and the corresponding E, C and K classes. Other spectral classes include the T-, D-, and V-types (4 Vesta). The Ld-type is a new class and has more extreme spectral features than the L-type asteroid. The new class of O-type asteroids has since only been assigned to the asteroid 3628 Božněmcová. A significant number of small asteroids were found to fall in the Q, R, and V types, which were represented by only a single body in the Tholen scheme. In the Bus and Binzel SMASS scheme only a single type was assigned to any particular asteroid.[citation needed]",A: Cb-type,B: Ch-type,C: Cg-type,D: C-type,E: B-type,Answer: D,104
What is the new spectral class introduced in the Bus and Binzel SMASS taxonomy that has more extreme spectral features than the L-type asteroid?,"This is a more recent taxonomy introduced by American astronomers Schelte Bus and Richard Binzel in 2002, based on the Small Main-Belt Asteroid Spectroscopic Survey (SMASS) of 1,447 asteroids.[9] This survey produced spectra of a far higher resolution than ECAS (see Tholen classification above), and was able to resolve a variety of narrow spectral features. However, a somewhat smaller range of wavelengths (0.44 μm to 0.92 μm) was observed. Also, albedos were not considered. Attempting to keep to the Tholen taxonomy as much as possible given the differing data, asteroids were sorted into the 26 types given below. As for the Tholen taxonomy, the majority of bodies fall into the three broad C, S, and X categories, with a few unusual bodies categorized into several smaller types (also see § Overview of Tholen and SMASS above): C-group of carbonaceous objects includes the C-type asteroid, the most ""standard"" of the non-B carbonaceous objects, the ""brighter"" B-type asteroid largely overlapping with the Tholen B- and F types, the Cb-type that transition between the plain C- and B-type objects, and the Cg, Ch, and Cgh-types that are somewhat related to the Tholen G-type. The ""h"" stands for ""hydrated"". S-group of silicaceous (stony) objects includes the most common S-type asteroid, as well as the A-, Q-, and R-types. New classes include the K-type (181 Eucharis, 221 Eos) and L-type (83 Beatrix) asteroids. There are also five classes, Sa, Sq, Sr, Sk, and Sl that transition between plain the S-type and the other corresponding types in this group. X-group of mostly metallic objects. This includes the most common X-type asteroids as well as the M, E, or P-type as classified by Tholen. The Xe, Xc, and Xk are transitional types between the plain X- and the corresponding E, C and K classes. Other spectral classes include the T-, D-, and V-types (4 Vesta). The Ld-type is a new class and has more extreme spectral features than the L-type asteroid. The new class of O-type asteroids has since only been assigned to the asteroid 3628 Božněmcová. A significant number of small asteroids were found to fall in the Q, R, and V types, which were represented by only a single body in the Tholen scheme. In the Bus and Binzel SMASS scheme only a single type was assigned to any particular asteroid.[citation needed]",A: X-type,B: Ld-type,C: Q-type,D: D-type,E: V-type,Answer: B,104
Which spectral class in the Bus and Binzel SMASS taxonomy is transitional between the plain X-type and the corresponding E-type?,"This is a more recent taxonomy introduced by American astronomers Schelte Bus and Richard Binzel in 2002, based on the Small Main-Belt Asteroid Spectroscopic Survey (SMASS) of 1,447 asteroids.[9] This survey produced spectra of a far higher resolution than ECAS (see Tholen classification above), and was able to resolve a variety of narrow spectral features. However, a somewhat smaller range of wavelengths (0.44 μm to 0.92 μm) was observed. Also, albedos were not considered. Attempting to keep to the Tholen taxonomy as much as possible given the differing data, asteroids were sorted into the 26 types given below. As for the Tholen taxonomy, the majority of bodies fall into the three broad C, S, and X categories, with a few unusual bodies categorized into several smaller types (also see § Overview of Tholen and SMASS above): C-group of carbonaceous objects includes the C-type asteroid, the most ""standard"" of the non-B carbonaceous objects, the ""brighter"" B-type asteroid largely overlapping with the Tholen B- and F types, the Cb-type that transition between the plain C- and B-type objects, and the Cg, Ch, and Cgh-types that are somewhat related to the Tholen G-type. The ""h"" stands for ""hydrated"". S-group of silicaceous (stony) objects includes the most common S-type asteroid, as well as the A-, Q-, and R-types. New classes include the K-type (181 Eucharis, 221 Eos) and L-type (83 Beatrix) asteroids. There are also five classes, Sa, Sq, Sr, Sk, and Sl that transition between plain the S-type and the other corresponding types in this group. X-group of mostly metallic objects. This includes the most common X-type asteroids as well as the M, E, or P-type as classified by Tholen. The Xe, Xc, and Xk are transitional types between the plain X- and the corresponding E, C and K classes. Other spectral classes include the T-, D-, and V-types (4 Vesta). The Ld-type is a new class and has more extreme spectral features than the L-type asteroid. The new class of O-type asteroids has since only been assigned to the asteroid 3628 Božněmcová. A significant number of small asteroids were found to fall in the Q, R, and V types, which were represented by only a single body in the Tholen scheme. In the Bus and Binzel SMASS scheme only a single type was assigned to any particular asteroid.[citation needed]",A: Xe-type,B: Xc-type,C: Xk-type,D: X-type,E: E-type,Answer: A,104
"In the Bus and Binzel SMASS scheme, what is the spectral class assigned to the asteroid 3628 Božněmcová?","This is a more recent taxonomy introduced by American astronomers Schelte Bus and Richard Binzel in 2002, based on the Small Main-Belt Asteroid Spectroscopic Survey (SMASS) of 1,447 asteroids.[9] This survey produced spectra of a far higher resolution than ECAS (see Tholen classification above), and was able to resolve a variety of narrow spectral features. However, a somewhat smaller range of wavelengths (0.44 μm to 0.92 μm) was observed. Also, albedos were not considered. Attempting to keep to the Tholen taxonomy as much as possible given the differing data, asteroids were sorted into the 26 types given below. As for the Tholen taxonomy, the majority of bodies fall into the three broad C, S, and X categories, with a few unusual bodies categorized into several smaller types (also see § Overview of Tholen and SMASS above): C-group of carbonaceous objects includes the C-type asteroid, the most ""standard"" of the non-B carbonaceous objects, the ""brighter"" B-type asteroid largely overlapping with the Tholen B- and F types, the Cb-type that transition between the plain C- and B-type objects, and the Cg, Ch, and Cgh-types that are somewhat related to the Tholen G-type. The ""h"" stands for ""hydrated"". S-group of silicaceous (stony) objects includes the most common S-type asteroid, as well as the A-, Q-, and R-types. New classes include the K-type (181 Eucharis, 221 Eos) and L-type (83 Beatrix) asteroids. There are also five classes, Sa, Sq, Sr, Sk, and Sl that transition between plain the S-type and the other corresponding types in this group. X-group of mostly metallic objects. This includes the most common X-type asteroids as well as the M, E, or P-type as classified by Tholen. The Xe, Xc, and Xk are transitional types between the plain X- and the corresponding E, C and K classes. Other spectral classes include the T-, D-, and V-types (4 Vesta). The Ld-type is a new class and has more extreme spectral features than the L-type asteroid. The new class of O-type asteroids has since only been assigned to the asteroid 3628 Božněmcová. A significant number of small asteroids were found to fall in the Q, R, and V types, which were represented by only a single body in the Tholen scheme. In the Bus and Binzel SMASS scheme only a single type was assigned to any particular asteroid.[citation needed]",A: O-type,B: T-type,C: D-type,D: V-type,E: R-type,Answer: A,104
Which type of asteroid in the Tholen classification is associated with an albedo below 0.1 and is related to the C-group?,"Tholen classification The most widely used taxonomy is that of David J. Tholen, first proposed in 1984. This classification was developed from broad band spectra (between 0.31 μm and 1.06 μm) obtained during the Eight-Color Asteroid Survey (ECAS) in the 1980s, in combination with albedo measurements.[7] The original formulation was based on 978 asteroids. The Tholen scheme includes 14 types with the majority of asteroids falling into one of three broad categories, and several smaller types (also see § Overview of Tholen and SMASS above). The types are, with their largest exemplars in parenthesis: C-group Asteroids in the C-group are dark, carbonaceous objects. Most bodies in this group belong to the standard C-type (e.g., 10 Hygiea), and the somewhat ""brighter"" B-type (2 Pallas). The F-type (704 Interamnia) and G-type (1 Ceres) are much rarer. Other low-albedo classes are the D-types (624 Hektor), typically seen in the outer asteroid belt and among the Jupiter trojans, as well as the rare T-type asteroids (96 Aegle) from the inner main-belt. S-group Asteroids with an S-type (15 Eunomia, 3 Juno) are silicaceous (or ""stony"") objects. Another large group are the stony-like V-type (4 Vesta), also known as ""vestoids"" most common among the members of the large Vesta family, thought to have originated from a large impact crater on Vesta. Other small classes include the A-type (246 Asporina), Q-type (1862 Apollo), and R-type asteroids (349 Dembowska). X-group The umbrella group of X-type asteroid can be further divided into three subgroups, depending on the degree of the object's reflectivity (dark, intermediate, bright). The darkest ones are related to the C-group, with an albedo below 0.1. These are the ""primitive"" P-type (259 Aletheia, 190 Ismene), which differ from the ""metallic"" M-type (16 Psyche) with an intermediate albedo of 0.10 to 0.30, and from the bright ""enstatite"" E-type asteroid, mostly seen among the members of the Hungaria family in the innermost region of the asteroid belt. Taxonomic features The Tholen taxonomy may encompass up to four letters (e.g. ""SCTU""). The classification scheme uses the letter ""I"" for ""inconsistent"" spectral data, and should not be confused with a spectral type. An example is the Themistian asteroid 515 Athalia, which, at the time of classification was inconsistent, as the body's spectrum and albedo was that of a stony and carbonaceous asteroid, respectively.[8] When the underlying numerical color analysis was ambiguous, objects were assigned two or three types rather than just one (e.g. ""CG"" or ""SCT""), whereby the sequence of types reflects the order of increasing numerical standard deviation, with the best fitting spectral type mentioned first.[8] The Tholen taxonomy also has additional notations, appended to the spectral type. The letter ""U"" is a qualifying flag, used for asteroids with an ""unusual"" spectrum, that falls far from the determined cluster center in the numerical analysis. The notation "":"" (single colon) and ""::"" (two colons) are appended when the spectral data is ""noisy"" or ""very noisy"", respectively. For example, the Mars-crosser 1747 Wright has an ""AU:"" class, which means that it is an A-type asteroid, though with an unusual and noisy spectrum.[8]",A: M-type,B: P-type,C: S-type,D: V-type,E: E-type,Answer: B,104
"Among the stony-like asteroids in the Tholen classification, which type is common among the members of the large Vesta family and is thought to have originated from a large impact crater on Vesta?","Tholen classification The most widely used taxonomy is that of David J. Tholen, first proposed in 1984. This classification was developed from broad band spectra (between 0.31 μm and 1.06 μm) obtained during the Eight-Color Asteroid Survey (ECAS) in the 1980s, in combination with albedo measurements.[7] The original formulation was based on 978 asteroids. The Tholen scheme includes 14 types with the majority of asteroids falling into one of three broad categories, and several smaller types (also see § Overview of Tholen and SMASS above). The types are, with their largest exemplars in parenthesis: C-group Asteroids in the C-group are dark, carbonaceous objects. Most bodies in this group belong to the standard C-type (e.g., 10 Hygiea), and the somewhat ""brighter"" B-type (2 Pallas). The F-type (704 Interamnia) and G-type (1 Ceres) are much rarer. Other low-albedo classes are the D-types (624 Hektor), typically seen in the outer asteroid belt and among the Jupiter trojans, as well as the rare T-type asteroids (96 Aegle) from the inner main-belt. S-group Asteroids with an S-type (15 Eunomia, 3 Juno) are silicaceous (or ""stony"") objects. Another large group are the stony-like V-type (4 Vesta), also known as ""vestoids"" most common among the members of the large Vesta family, thought to have originated from a large impact crater on Vesta. Other small classes include the A-type (246 Asporina), Q-type (1862 Apollo), and R-type asteroids (349 Dembowska). X-group The umbrella group of X-type asteroid can be further divided into three subgroups, depending on the degree of the object's reflectivity (dark, intermediate, bright). The darkest ones are related to the C-group, with an albedo below 0.1. These are the ""primitive"" P-type (259 Aletheia, 190 Ismene), which differ from the ""metallic"" M-type (16 Psyche) with an intermediate albedo of 0.10 to 0.30, and from the bright ""enstatite"" E-type asteroid, mostly seen among the members of the Hungaria family in the innermost region of the asteroid belt. Taxonomic features The Tholen taxonomy may encompass up to four letters (e.g. ""SCTU""). The classification scheme uses the letter ""I"" for ""inconsistent"" spectral data, and should not be confused with a spectral type. An example is the Themistian asteroid 515 Athalia, which, at the time of classification was inconsistent, as the body's spectrum and albedo was that of a stony and carbonaceous asteroid, respectively.[8] When the underlying numerical color analysis was ambiguous, objects were assigned two or three types rather than just one (e.g. ""CG"" or ""SCT""), whereby the sequence of types reflects the order of increasing numerical standard deviation, with the best fitting spectral type mentioned first.[8] The Tholen taxonomy also has additional notations, appended to the spectral type. The letter ""U"" is a qualifying flag, used for asteroids with an ""unusual"" spectrum, that falls far from the determined cluster center in the numerical analysis. The notation "":"" (single colon) and ""::"" (two colons) are appended when the spectral data is ""noisy"" or ""very noisy"", respectively. For example, the Mars-crosser 1747 Wright has an ""AU:"" class, which means that it is an A-type asteroid, though with an unusual and noisy spectrum.[8]",A: A-type,B: Q-type,C: R-type,D: S-type,E: V-type,Answer: D,104
"In the Tholen classification, which subgroup of the X-type asteroids is associated with an intermediate albedo of 0.10 to 0.30?","Tholen classification The most widely used taxonomy is that of David J. Tholen, first proposed in 1984. This classification was developed from broad band spectra (between 0.31 μm and 1.06 μm) obtained during the Eight-Color Asteroid Survey (ECAS) in the 1980s, in combination with albedo measurements.[7] The original formulation was based on 978 asteroids. The Tholen scheme includes 14 types with the majority of asteroids falling into one of three broad categories, and several smaller types (also see § Overview of Tholen and SMASS above). The types are, with their largest exemplars in parenthesis: C-group Asteroids in the C-group are dark, carbonaceous objects. Most bodies in this group belong to the standard C-type (e.g., 10 Hygiea), and the somewhat ""brighter"" B-type (2 Pallas). The F-type (704 Interamnia) and G-type (1 Ceres) are much rarer. Other low-albedo classes are the D-types (624 Hektor), typically seen in the outer asteroid belt and among the Jupiter trojans, as well as the rare T-type asteroids (96 Aegle) from the inner main-belt. S-group Asteroids with an S-type (15 Eunomia, 3 Juno) are silicaceous (or ""stony"") objects. Another large group are the stony-like V-type (4 Vesta), also known as ""vestoids"" most common among the members of the large Vesta family, thought to have originated from a large impact crater on Vesta. Other small classes include the A-type (246 Asporina), Q-type (1862 Apollo), and R-type asteroids (349 Dembowska). X-group The umbrella group of X-type asteroid can be further divided into three subgroups, depending on the degree of the object's reflectivity (dark, intermediate, bright). The darkest ones are related to the C-group, with an albedo below 0.1. These are the ""primitive"" P-type (259 Aletheia, 190 Ismene), which differ from the ""metallic"" M-type (16 Psyche) with an intermediate albedo of 0.10 to 0.30, and from the bright ""enstatite"" E-type asteroid, mostly seen among the members of the Hungaria family in the innermost region of the asteroid belt. Taxonomic features The Tholen taxonomy may encompass up to four letters (e.g. ""SCTU""). The classification scheme uses the letter ""I"" for ""inconsistent"" spectral data, and should not be confused with a spectral type. An example is the Themistian asteroid 515 Athalia, which, at the time of classification was inconsistent, as the body's spectrum and albedo was that of a stony and carbonaceous asteroid, respectively.[8] When the underlying numerical color analysis was ambiguous, objects were assigned two or three types rather than just one (e.g. ""CG"" or ""SCT""), whereby the sequence of types reflects the order of increasing numerical standard deviation, with the best fitting spectral type mentioned first.[8] The Tholen taxonomy also has additional notations, appended to the spectral type. The letter ""U"" is a qualifying flag, used for asteroids with an ""unusual"" spectrum, that falls far from the determined cluster center in the numerical analysis. The notation "":"" (single colon) and ""::"" (two colons) are appended when the spectral data is ""noisy"" or ""very noisy"", respectively. For example, the Mars-crosser 1747 Wright has an ""AU:"" class, which means that it is an A-type asteroid, though with an unusual and noisy spectrum.[8]",A: Dark X-type,B: Intermediate X-type,C: Bright X-type,D: P-type,E: E-type,Answer: B,104
"What does the letter ""U"" represent when appended to the spectral type in the Tholen taxonomy?","Tholen classification The most widely used taxonomy is that of David J. Tholen, first proposed in 1984. This classification was developed from broad band spectra (between 0.31 μm and 1.06 μm) obtained during the Eight-Color Asteroid Survey (ECAS) in the 1980s, in combination with albedo measurements.[7] The original formulation was based on 978 asteroids. The Tholen scheme includes 14 types with the majority of asteroids falling into one of three broad categories, and several smaller types (also see § Overview of Tholen and SMASS above). The types are, with their largest exemplars in parenthesis: C-group Asteroids in the C-group are dark, carbonaceous objects. Most bodies in this group belong to the standard C-type (e.g., 10 Hygiea), and the somewhat ""brighter"" B-type (2 Pallas). The F-type (704 Interamnia) and G-type (1 Ceres) are much rarer. Other low-albedo classes are the D-types (624 Hektor), typically seen in the outer asteroid belt and among the Jupiter trojans, as well as the rare T-type asteroids (96 Aegle) from the inner main-belt. S-group Asteroids with an S-type (15 Eunomia, 3 Juno) are silicaceous (or ""stony"") objects. Another large group are the stony-like V-type (4 Vesta), also known as ""vestoids"" most common among the members of the large Vesta family, thought to have originated from a large impact crater on Vesta. Other small classes include the A-type (246 Asporina), Q-type (1862 Apollo), and R-type asteroids (349 Dembowska). X-group The umbrella group of X-type asteroid can be further divided into three subgroups, depending on the degree of the object's reflectivity (dark, intermediate, bright). The darkest ones are related to the C-group, with an albedo below 0.1. These are the ""primitive"" P-type (259 Aletheia, 190 Ismene), which differ from the ""metallic"" M-type (16 Psyche) with an intermediate albedo of 0.10 to 0.30, and from the bright ""enstatite"" E-type asteroid, mostly seen among the members of the Hungaria family in the innermost region of the asteroid belt. Taxonomic features The Tholen taxonomy may encompass up to four letters (e.g. ""SCTU""). The classification scheme uses the letter ""I"" for ""inconsistent"" spectral data, and should not be confused with a spectral type. An example is the Themistian asteroid 515 Athalia, which, at the time of classification was inconsistent, as the body's spectrum and albedo was that of a stony and carbonaceous asteroid, respectively.[8] When the underlying numerical color analysis was ambiguous, objects were assigned two or three types rather than just one (e.g. ""CG"" or ""SCT""), whereby the sequence of types reflects the order of increasing numerical standard deviation, with the best fitting spectral type mentioned first.[8] The Tholen taxonomy also has additional notations, appended to the spectral type. The letter ""U"" is a qualifying flag, used for asteroids with an ""unusual"" spectrum, that falls far from the determined cluster center in the numerical analysis. The notation "":"" (single colon) and ""::"" (two colons) are appended when the spectral data is ""noisy"" or ""very noisy"", respectively. For example, the Mars-crosser 1747 Wright has an ""AU:"" class, which means that it is an A-type asteroid, though with an unusual and noisy spectrum.[8]",A: Unusual spectrum,B: Inconsistent spectral data,C: Noisy spectrum,D: Very noisy spectrum,E: Qualifying flag for asteroid size,Answer: A,104
